Write to file (w) or plot (p):         131232 function calls (128634 primitive calls) in 4408.874 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
      142    0.000    0.000    0.000    0.000 colors.py:491(__init__)
       19    0.000    0.000    0.000    0.000 nosetester.py:140(__init__)
      520    0.000    0.000    0.000    0.000 inspect.py:67(ismethod)
       13    0.000    0.000    0.000    0.000 path.py:195(_update_values)
      227    0.000    0.000    0.000    0.000 sre_parse.py:257(_escape)
       31    0.000    0.000    0.000    0.000 posixpath.py:365(abspath)
    61/58    0.000    0.000    0.000    0.000 pyparsing.py:108(_ustr)
        1    0.000    0.000    0.000    0.000 parser.py:165(parserinfo)
        1    0.000    0.000    0.000    0.000 patches.py:1699(BoxStyle)
      143    0.000    0.000    0.000    0.000 inspect.py:472(getmodule)
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
        1    0.000    0.000    0.000    0.000 path.py:965(_define_deprecated_functions)
       35    0.000    0.000    0.000    0.000 pyparsing.py:2526(__init__)
        6    0.000    0.000    0.000    0.000 function_base.py:8(linspace)
        1    0.000    0.000    0.000    0.000 dviread.py:20(<module>)
       96    0.000    0.000    0.000    0.000 sre_parse.py:178(__init__)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:2464(DistInfoDistribution)
        1    0.000    0.000    0.000    0.000 figure.py:233(Figure)
        1    0.000    0.000    0.000    0.000 dates.py:345(DateFormatter)
      814    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
        1    0.000    0.000    0.000    0.000 patches.py:2385(ConnectionStyle)
       54    0.000    0.000    0.000    0.000 cbook.py:668(is_string_like)
        1    0.000    0.000    0.000    0.000 fftpack.py:32(<module>)
      705    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       12    0.000    0.000    0.000    0.000 {open}
        1    0.000    0.000    0.000    0.000 numerictypes.py:304(_add_aliases)
     1737    0.000    0.000    0.000    0.000 {chr}
        1    0.000    0.000    0.000    0.000 defmatrix.py:1(<module>)
       55    0.000    0.000    0.000    0.000 {all}
       40    0.000    0.000    0.000    0.000 _inspect.py:120(getargspec)
      520    0.000    0.000    0.000    0.000 inspect.py:209(iscode)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
       13    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
      156    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
       33    0.000    0.000    0.000    0.000 posixpath.py:336(normpath)
        1    0.000    0.000    0.000    0.000 patches.py:929(Arrow)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:2170(FancyBboxPatch)
        7    0.000    0.000    0.000    0.000 __init__.py:483(_get_home)
      183    0.000    0.000    0.000    0.000 {zip}
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
       70    0.000    0.000    0.000    0.000 pkg_resources.py:1418(_fn)
       31    0.000    0.000    0.000    0.000 _inspect.py:159(formatargspec)
        1    0.000    0.000    0.000    0.000 mathtext.py:2050(Parser)
        1    0.000    0.000    0.000    0.000 image.py:5(<module>)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
      235    0.000    0.000    0.000    0.000 stat.py:40(S_ISDIR)
       27    0.000    0.000    0.000    0.000 core.py:822(__init__)
       24    0.000    0.000    0.000    0.000 pyparsing.py:1484(__init__)
     1666    0.000    0.000    0.000    0.000 {callable}
      520    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       55    0.000    0.000    0.000    0.000 collections.py:355(<genexpr>)
      619    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
      100    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
      407    0.000    0.000    0.000    0.000 artist.py:983(aliased_name)
      270    0.000    0.000    0.000    0.000 {numpy.lib._compiled_base.add_docstring}
        1    0.000    0.000    0.000    0.000 pyparsing.py:1718(Regex)
     1443    0.000    0.000    0.000    0.000 {ord}
       96    0.000    0.000    0.000    0.000 {_sre.compile}
       13    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
        9    0.000    0.000    0.000    0.000 extras.py:241(__init__)
        1    0.000    0.000    0.000    0.000 streamplot.py:4(<module>)
     1341    0.000    0.000    0.000    0.000 _mathtext_data.py:1767(<genexpr>)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2230(setResultsName)
      423    0.000    0.000    0.000    0.000 collections.py:329(<genexpr>)
       54    0.000    0.000    0.000    0.000 pyparsing.py:1451(__init__)
       17    0.000    0.000    0.000    0.000 pyparsing.py:2904(__init__)
      100    0.000    0.000    0.000    0.000 pkg_resources.py:1927(fixup_namespace_packages)
        3    0.000    0.000    0.000    0.000 numeric.py:346(extend_all)
       81    0.000    0.000    0.000    0.000 cbook.py:659(iterable)
        9    0.000    0.000    0.000    0.000 extras.py:245(getdoc)
        1    0.000    0.000    0.000    0.000 quiver.py:15(<module>)
      123    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 triinterpolate.py:605(_ReducedHCT_Element)
        1    0.000    0.000    0.000    0.000 legend_handler.py:25(<module>)
       13    0.000    0.000    0.000    0.000 _methods.py:35(_all)
      252    0.000    0.000    0.000    0.000 pyplot.py:2068(pad)
      192    0.000    0.000    0.000    0.000 sre_compile.py:472(isstring)
        1    0.000    0.000    0.000    0.000 axes3d.py:36(Axes3D)
     1239    0.000    0.000    0.000    0.000 sre_compile.py:24(_identityfunction)
        1    0.000    0.000    0.000    0.000 interpolate.py:1(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
       41    0.000    0.000    0.000    0.000 pyparsing.py:2146(__init__)
       10    0.000    0.000    0.000    0.000 {method 'read' of 'file' objects}
       13    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       13    0.000    0.000    0.000    0.000 pyparsing.py:801(setParseAction)
        1    0.000    0.000    0.000    0.000 glob.py:1(<module>)
        1    0.000    0.000    0.000    0.000 axis3d.py:6(<module>)
       20    0.000    0.000    0.000    0.000 pyparsing.py:1757(parseImpl)
